x 	 y 	 R  
0.675333 	 -0.737513 	 1.000000
0.684547 	 -0.728969 	 1.000000
0.693653 	 -0.720309 	 1.000000
0.702650 	 -0.711536 	 1.000000
0.711536 	 -0.702650 	 1.000000
0.720309 	 -0.693653 	 1.000000
0.728969 	 -0.684547 	 1.000000
0.737513 	 -0.675333 	 1.000000
0.745941 	 -0.666012 	 1.000000
0.754251 	 -0.656586 	 1.000000
0.762442 	 -0.647056 	 1.000000
0.770513 	 -0.637424 	 1.000000
0.778462 	 -0.627691 	 1.000000
0.786288 	 -0.617860 	 1.000000
0.793990 	 -0.607930 	 1.000000
0.801567 	 -0.597905 	 1.000000
0.809017 	 -0.587785 	 1.000000
0.816339 	 -0.577573 	 1.000000
0.823533 	 -0.567269 	 1.000000
0.830596 	 -0.556876 	 1.000000
0.837528 	 -0.546394 	 1.000000
0.844328 	 -0.535827 	 1.000000
0.850994 	 -0.525175 	 1.000000
0.857527 	 -0.514440 	 1.000000
0.863923 	 -0.503623 	 1.000000
0.870184 	 -0.492727 	 1.000000
0.876307 	 -0.481754 	 1.000000
0.882291 	 -0.470704 	 1.000000
0.888136 	 -0.459580 	 1.000000
0.893841 	 -0.448383 	 1.000000
0.899405 	 -0.437116 	 1.000000
0.904827 	 -0.425779 	 1.000000
0.910106 	 -0.414376 	 1.000000
0.915241 	 -0.402906 	 1.000000
0.920232 	 -0.391374 	 1.000000
0.925077 	 -0.379779 	 1.000000
0.929776 	 -0.368125 	 1.000000
0.934329 	 -0.356412 	 1.000000
0.938734 	 -0.344643 	 1.000000
0.942991 	 -0.332820 	 1.000000
0.947098 	 -0.320944 	 1.000000
0.951057 	 -0.309017 	 1.000000
0.954865 	 -0.297042 	 1.000000
0.958522 	 -0.285019 	 1.000000
0.962028 	 -0.272952 	 1.000000
0.965382 	 -0.260842 	 1.000000
0.968583 	 -0.248690 	 1.000000
0.971632 	 -0.236499 	 1.000000
0.974527 	 -0.224271 	 1.000000
0.977268 	 -0.212007 	 1.000000
0.979855 	 -0.199710 	 1.000000
0.982287 	 -0.187381 	 1.000000
0.984564 	 -0.175023 	 1.000000
0.986686 	 -0.162637 	 1.000000
0.988652 	 -0.150226 	 1.000000
0.990461 	 -0.137790 	 1.000000
0.992115 	 -0.125333 	 1.000000
0.993611 	 -0.112856 	 1.000000
0.994951 	 -0.100362 	 1.000000
0.996134 	 -0.087851 	 1.000000
0.997159 	 -0.075327 	 1.000000
0.998027 	 -0.062791 	 1.000000
0.998737 	 -0.050244 	 1.000000
0.999289 	 -0.037690 	 1.000000
0.999684 	 -0.025130 	 1.000000
0.999921 	 -0.012566 	 1.000000
1.000000 	 -0.000000 	 1.000000
