Time 	 E 	 L 	 Deviation in E 	 Deviation in L
7.79115e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
7.91681e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
8.04248e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
8.16814e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 2.2204460492503131e-16
8.29380e-01 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
8.41947e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 2.2204460492503131e-16
8.54513e-01 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
8.67080e-01 	 -5.00000e-01 	 1.00000e+00	2.775558e-16 	 4.4408920985006262e-16
8.79646e-01 	 -5.00000e-01 	 1.00000e+00	2.775558e-16 	 4.4408920985006262e-16
8.92212e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 2.2204460492503131e-16
9.04779e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
9.17345e-01 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 4.4408920985006262e-16
9.29911e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
9.42478e-01 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 4.4408920985006262e-16
9.55044e-01 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 4.4408920985006262e-16
9.67611e-01 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 4.4408920985006262e-16
9.80177e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
9.92743e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
1.00531e+00 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
1.01788e+00 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 4.4408920985006262e-16
1.03044e+00 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 6.6613381477509392e-16
1.04301e+00 	 -5.00000e-01 	 1.00000e+00	7.771561e-16 	 6.6613381477509392e-16
1.05558e+00 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 6.6613381477509392e-16
1.06814e+00 	 -5.00000e-01 	 1.00000e+00	6.106227e-16 	 6.6613381477509392e-16
1.08071e+00 	 -5.00000e-01 	 1.00000e+00	6.661338e-16 	 6.6613381477509392e-16
1.09327e+00 	 -5.00000e-01 	 1.00000e+00	6.106227e-16 	 6.6613381477509392e-16
1.10584e+00 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 6.6613381477509392e-16
1.11841e+00 	 -5.00000e-01 	 1.00000e+00	6.661338e-16 	 6.6613381477509392e-16
1.13097e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
1.14354e+00 	 -5.00000e-01 	 1.00000e+00	6.106227e-16 	 6.6613381477509392e-16
1.15611e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
1.16867e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
1.18124e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
1.19381e+00 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
1.20637e+00 	 -5.00000e-01 	 1.00000e+00	2.775558e-16 	 2.2204460492503131e-16
1.21894e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
1.23150e+00 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 2.2204460492503131e-16
1.24407e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
1.25664e+00 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
1.26920e+00 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 4.4408920985006262e-16
1.28177e+00 	 -5.00000e-01 	 1.00000e+00	6.106227e-16 	 4.4408920985006262e-16
1.29434e+00 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 6.6613381477509392e-16
1.30690e+00 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 6.6613381477509392e-16
1.31947e+00 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 4.4408920985006262e-16
1.33204e+00 	 -5.00000e-01 	 1.00000e+00	2.775558e-16 	 4.4408920985006262e-16
1.34460e+00 	 -5.00000e-01 	 1.00000e+00	2.775558e-16 	 4.4408920985006262e-16
1.35717e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
1.36973e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-16 	 2.2204460492503131e-16
1.38230e+00 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 2.2204460492503131e-16
1.39487e+00 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 2.2204460492503131e-16
1.40743e+00 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 2.2204460492503131e-16
1.42000e+00 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 4.4408920985006262e-16
1.43257e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 2.2204460492503131e-16
1.44513e+00 	 -5.00000e-01 	 1.00000e+00	2.775558e-16 	 4.4408920985006262e-16
1.45770e+00 	 -5.00000e-01 	 1.00000e+00	3.885781e-16 	 2.2204460492503131e-16
1.47027e+00 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 4.4408920985006262e-16
1.48283e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
1.49540e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
1.50796e+00 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 4.4408920985006262e-16
1.52053e+00 	 -5.00000e-01 	 1.00000e+00	7.216450e-16 	 6.6613381477509392e-16
1.53310e+00 	 -5.00000e-01 	 1.00000e+00	7.216450e-16 	 6.6613381477509392e-16
1.54566e+00 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 6.6613381477509392e-16
1.55823e+00 	 -5.00000e-01 	 1.00000e+00	6.106227e-16 	 6.6613381477509392e-16
1.57080e+00 	 -5.00000e-01 	 1.00000e+00	6.661338e-16 	 6.6613381477509392e-16
1.58336e+00 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 6.6613381477509392e-16
1.59593e+00 	 -5.00000e-01 	 1.00000e+00	7.216450e-16 	 6.6613381477509392e-16
1.60850e+00 	 -5.00000e-01 	 1.00000e+00	7.216450e-16 	 8.8817841970012523e-16
1.62106e+00 	 -5.00000e-01 	 1.00000e+00	8.326673e-16 	 8.8817841970012523e-16
1.63363e+00 	 -5.00000e-01 	 1.00000e+00	8.881784e-16 	 1.1102230246251565e-15
1.64619e+00 	 -5.00000e-01 	 1.00000e+00	1.054712e-15 	 1.1102230246251565e-15
1.65876e+00 	 -5.00000e-01 	 1.00000e+00	1.165734e-15 	 1.1102230246251565e-15
1.67133e+00 	 -5.00000e-01 	 1.00000e+00	1.332268e-15 	 1.3322676295501878e-15
1.68389e+00 	 -5.00000e-01 	 1.00000e+00	1.387779e-15 	 1.3322676295501878e-15
1.69646e+00 	 -5.00000e-01 	 1.00000e+00	1.221245e-15 	 1.3322676295501878e-15
1.70903e+00 	 -5.00000e-01 	 1.00000e+00	1.165734e-15 	 1.3322676295501878e-15
1.72159e+00 	 -5.00000e-01 	 1.00000e+00	1.165734e-15 	 1.3322676295501878e-15
1.73416e+00 	 -5.00000e-01 	 1.00000e+00	1.165734e-15 	 1.1102230246251565e-15
1.74673e+00 	 -5.00000e-01 	 1.00000e+00	1.054712e-15 	 1.1102230246251565e-15
1.75929e+00 	 -5.00000e-01 	 1.00000e+00	1.110223e-15 	 1.1102230246251565e-15
1.77186e+00 	 -5.00000e-01 	 1.00000e+00	1.054712e-15 	 1.1102230246251565e-15
1.78442e+00 	 -5.00000e-01 	 1.00000e+00	9.992007e-16 	 1.1102230246251565e-15
1.79699e+00 	 -5.00000e-01 	 1.00000e+00	9.992007e-16 	 1.1102230246251565e-15
1.80956e+00 	 -5.00000e-01 	 1.00000e+00	8.881784e-16 	 1.1102230246251565e-15
