time 	 energy deviation
7.9168134870e-02 	 2.5500004069e-01
7.9796453401e-02 	 2.5500004166e-01
8.0424771932e-02 	 2.5500004266e-01
8.1053090463e-02 	 2.5500004367e-01
8.1681408993e-02 	 2.5500004470e-01
8.2309727524e-02 	 2.5500004574e-01
8.2938046055e-02 	 2.5500004680e-01
8.3566364585e-02 	 2.5500004787e-01
8.4194683116e-02 	 2.5500004896e-01
8.4823001647e-02 	 2.5500005007e-01
8.5451320178e-02 	 2.5500005119e-01
8.6079638708e-02 	 2.5500005233e-01
8.6707957239e-02 	 2.5500005349e-01
8.7336275770e-02 	 2.5500005466e-01
8.7964594301e-02 	 2.5500005586e-01
8.8592912831e-02 	 2.5500005707e-01
8.9221231362e-02 	 2.5500005829e-01
8.9849549893e-02 	 2.5500005954e-01
9.0477868423e-02 	 2.5500006080e-01
9.1106186954e-02 	 2.5500006208e-01
9.1734505485e-02 	 2.5500006337e-01
9.2362824016e-02 	 2.5500006469e-01
9.2991142546e-02 	 2.5500006602e-01
9.3619461077e-02 	 2.5500006738e-01
9.4247779608e-02 	 2.5500006875e-01
9.4876098138e-02 	 2.5500007013e-01
9.5504416669e-02 	 2.5500007154e-01
9.6132735200e-02 	 2.5500007297e-01
9.6761053731e-02 	 2.5500007441e-01
9.7389372261e-02 	 2.5500007588e-01
9.8017690792e-02 	 2.5500007736e-01
9.8646009323e-02 	 2.5500007886e-01
9.9274327853e-02 	 2.5500008039e-01
9.9902646384e-02 	 2.5500008193e-01
1.0053096491e-01 	 2.5500008349e-01
1.0115928345e-01 	 2.5500008507e-01
1.0178760198e-01 	 2.5500008667e-01
1.0241592051e-01 	 2.5500008829e-01
1.0304423904e-01 	 2.5500008993e-01
1.0367255757e-01 	 2.5500009160e-01
1.0430087610e-01 	 2.5500009328e-01
1.0492919463e-01 	 2.5500009498e-01
1.0555751316e-01 	 2.5500009671e-01
1.0618583169e-01 	 2.5500009845e-01
1.0681415022e-01 	 2.5500010022e-01
1.0744246875e-01 	 2.5500010200e-01
1.0807078728e-01 	 2.5500010381e-01
1.0869910581e-01 	 2.5500010564e-01
1.0932742434e-01 	 2.5500010749e-01
1.0995574288e-01 	 2.5500010936e-01
1.1058406141e-01 	 2.5500011126e-01
1.1121237994e-01 	 2.5500011317e-01
1.1184069847e-01 	 2.5500011511e-01
1.1246901700e-01 	 2.5500011707e-01
1.1309733553e-01 	 2.5500011905e-01
1.1372565406e-01 	 2.5500012106e-01
1.1435397259e-01 	 2.5500012309e-01
1.1498229112e-01 	 2.5500012514e-01
1.1561060965e-01 	 2.5500012721e-01
1.1623892818e-01 	 2.5500012931e-01
1.1686724671e-01 	 2.5500013142e-01
1.1749556524e-01 	 2.5500013357e-01
1.1812388377e-01 	 2.5500013573e-01
1.1875220231e-01 	 2.5500013792e-01
1.1938052084e-01 	 2.5500014013e-01
1.2000883937e-01 	 2.5500014237e-01
1.2063715790e-01 	 2.5500014463e-01
1.2126547643e-01 	 2.5500014692e-01
1.2189379496e-01 	 2.5500014922e-01
1.2252211349e-01 	 2.5500015156e-01
1.2315043202e-01 	 2.5500015391e-01
1.2377875055e-01 	 2.5500015629e-01
1.2440706908e-01 	 2.5500015870e-01
1.2503538761e-01 	 2.5500016113e-01
1.2566370614e-01 	 2.5500016359e-01
1.2629202467e-01 	 2.5500016607e-01
1.2692034321e-01 	 2.5500016858e-01
1.2754866174e-01 	 2.5500017111e-01
1.2817698027e-01 	 2.5500017366e-01
1.2880529880e-01 	 2.5500017625e-01
1.2943361733e-01 	 2.5500017885e-01
1.3006193586e-01 	 2.5500018149e-01
1.3069025439e-01 	 2.5500018415e-01
1.3131857292e-01 	 2.5500018683e-01
1.3194689145e-01 	 2.5500018955e-01
1.3257520998e-01 	 2.5500019229e-01
1.3320352851e-01 	 2.5500019505e-01
1.3383184704e-01 	 2.5500019784e-01
1.3446016557e-01 	 2.5500020066e-01
1.3508848410e-01 	 2.5500020351e-01
1.3571680264e-01 	 2.5500020638e-01
1.3634512117e-01 	 2.5500020928e-01
1.3697343970e-01 	 2.5500021221e-01
1.3760175823e-01 	 2.5500021516e-01
1.3823007676e-01 	 2.5500021814e-01
1.3885839529e-01 	 2.5500022115e-01
1.3948671382e-01 	 2.5500022419e-01
1.4011503235e-01 	 2.5500022726e-01
1.4074335088e-01 	 2.5500023035e-01
1.4137166941e-01 	 2.5500023347e-01
1.4199998794e-01 	 2.5500023662e-01
1.4262830647e-01 	 2.5500023980e-01
1.4325662500e-01 	 2.5500024301e-01
