t/T 	 E_L 	 E_K  
0.000000 	 0.000006185886 	 0.000000318386 
0.148327 	 0.000021853204 	 0.000000158207 
0.296653 	 0.000040525033 	 0.000000044327 
0.444980 	 0.000056456447 	 0.000000381800 
0.593307 	 0.000067196799 	 0.000001187569 
0.741633 	 0.000073200478 	 0.000002193976 
0.889960 	 0.000076090327 	 0.000003103962 
1.038287 	 0.000077335938 	 0.000003753937 
1.186613 	 0.000077831896 	 0.000004128302 
1.334940 	 0.000078010043 	 0.000004296721 
1.483267 	 0.000078058915 	 0.000004348803 
1.631594 	 0.000078064606 	 0.000004355740 
1.779920 	 0.000078064605 	 0.000004355663 
1.928247 	 0.000078059009 	 0.000004350406 
2.076574 	 0.000078010541 	 0.000004305476 
2.224900 	 0.000077833452 	 0.000004153238 
2.373227 	 0.000077340034 	 0.000003807615 
2.521554 	 0.000076100298 	 0.000003203341 
2.669880 	 0.000073222680 	 0.000002365166 
2.818207 	 0.000067240246 	 0.000001480724 
2.966534 	 0.000056528279 	 0.000000901731 
3.114860 	 0.000040621305 	 0.000000988272 
3.263187 	 0.000021951217 	 0.000001824408 
3.411514 	 0.000006249359 	 0.000003038911 
3.559840 	 0.000000000185 	 0.000004001565 
3.708167 	 0.000006122692 	 0.000004320100 
3.856494 	 0.000021755275 	 0.000004159985 
4.004820 	 0.000040428674 	 0.000004046030 
4.153147 	 0.000056384460 	 0.000004383353 
4.301474 	 0.000067153213 	 0.000005188997 
4.449800 	 0.000073178188 	 0.000006195357 
4.598127 	 0.000076080311 	 0.000007105367 
4.746454 	 0.000077331822 	 0.000007755398 
4.894781 	 0.000077830332 	 0.000008129819 
5.043107 	 0.000078009541 	 0.000008298278 
5.191434 	 0.000078058819 	 0.000008350380 
5.339761 	 0.000078064607 	 0.000008357322 
5.488087 	 0.000078064603 	 0.000008357246 
5.636414 	 0.000078059102 	 0.000008351994 
5.784741 	 0.000078011037 	 0.000008307086 
5.933067 	 0.000077834999 	 0.000008154900 
6.081394 	 0.000077344109 	 0.000007809363 
6.229721 	 0.000076110224 	 0.000007205195 
6.378047 	 0.000073244794 	 0.000006367105 
6.526374 	 0.000067283555 	 0.000005482660 
6.674701 	 0.000056599955 	 0.000004903520 
6.823027 	 0.000040717489 	 0.000004989798 
6.971354 	 0.000022049311 	 0.000005825687 
7.119681 	 0.000006313113 	 0.000007040121 
7.268007 	 0.000000000738 	 0.000008002920 
7.416334 	 0.000006059780 	 0.000008321670 
7.564661 	 0.000021657431 	 0.000008161642 
7.712988 	 0.000040332229 	 0.000008047581 
7.861314 	 0.000056312316 	 0.000008384701 
8.009641 	 0.000067109490 	 0.000009190185 
8.157968 	 0.000073155809 	 0.000010196495 
8.306294 	 0.000076070248 	 0.000011106548 
8.454621 	 0.000077327685 	 0.000011756665 
8.602948 	 0.000077828759 	 0.000012131167 
8.751274 	 0.000078009035 	 0.000012299681 
8.899601 	 0.000078058723 	 0.000012351811 
9.047928 	 0.000078064608 	 0.000012358761 
9.196254 	 0.000078064602 	 0.000012358685 
9.344581 	 0.000078059194 	 0.000012353440 
9.492908 	 0.000078011528 	 0.000012308561 
9.641234 	 0.000077836538 	 0.000012156442 
9.789561 	 0.000077348165 	 0.000011811014 
9.937888 	 0.000076120105 	 0.000011206979 
10.086214 	 0.000073266821 	 0.000010368992 
10.234541 	 0.000067326727 	 0.000009484531 
10.382868 	 0.000056671475 	 0.000008905195 
10.531194 	 0.000040813584 	 0.000008991132 
10.679521 	 0.000022147487 	 0.000009826710 
10.827848 	 0.000006377144 	 0.000011041068 
10.976175 	 0.000000001661 	 0.000012004065 
11.124501 	 0.000005997150 	 0.000012323095 
11.272828 	 0.000021559672 	 0.000012163178 
11.421155 	 0.000040235697 	 0.000012048981 
11.569481 	 0.000056240018 	 0.000012385846 
11.717808 	 0.000067065628 	 0.000013191133 
11.866135 	 0.000073133341 	 0.000014197389 
12.014461 	 0.000076060140 	 0.000015107507 
12.162788 	 0.000077323528 	 0.000015757737 
12.311115 	 0.000077827177 	 0.000016132346 
12.459441 	 0.000078008526 	 0.000016300932 
12.607768 	 0.000078058625 	 0.000016353097 
12.756095 	 0.000078064609 	 0.000016360057 
12.904421 	 0.000078064601 	 0.000016359980 
13.052748 	 0.000078059285 	 0.000016354744 
13.201075 	 0.000078012016 	 0.000016309901 
13.349401 	 0.000077838069 	 0.000016157863 
13.497728 	 0.000077352200 	 0.000015812567 
13.646055 	 0.000076129941 	 0.000015208693 
13.794382 	 0.000073288759 	 0.000014370825 
13.942708 	 0.000067369762 	 0.000013486339 
14.091035 	 0.000056742840 	 0.000012906756 
14.239362 	 0.000040909590 	 0.000012992274 
14.387688 	 0.000022245743 	 0.000013827477 
14.536015 	 0.000006441454 	 0.000015041752 
14.684342 	 0.000000002953 	 0.000016005000 
14.832668 	 0.000005934803 	 0.000016324376 
14.980995 	 0.000021462000 	 0.000016164594 
15.129322 	 0.000040139080 	 0.000016050231 
15.277648 	 0.000056167563 	 0.000016386788 
15.425975 	 0.000067021628 	 0.000017191841 
15.574302 	 0.000073110784 	 0.000018198039 
15.722628 	 0.000076049986 	 0.000019108242 
15.870955 	 0.000077319350 	 0.000019758615 
16.019282 	 0.000077825587 	 0.000020133355 
16.167608 	 0.000078008014 	 0.000020302029 
16.315935 	 0.000078058526 	 0.000020354237 
16.464262 	 0.000078064610 	 0.000020361208 
16.612588 	 0.000078064599 	 0.000020361132 
16.760915 	 0.000078059375 	 0.000020355905 
16.909242 	 0.000078012501 	 0.000020311106 
17.057569 	 0.000077839591 	 0.000020159164 
17.205895 	 0.000077356216 	 0.000019814024 
17.354222 	 0.000076139732 	 0.000019210338 
17.502549 	 0.000073310611 	 0.000018372606 
17.650875 	 0.000067412660 	 0.000017488083 
17.799202 	 0.000056814048 	 0.000016908202 
17.947529 	 0.000041005506 	 0.000016993224 
18.095855 	 0.000022344078 	 0.000017827989 
18.244182 	 0.000006506040 	 0.000019042173 
18.392509 	 0.000000004613 	 0.000020005725 
18.540835 	 0.000005872739 	 0.000020325513 
18.689162 	 0.000021364415 	 0.000020165890 
18.837489 	 0.000040042379 	 0.000020051330 
18.985815 	 0.000056094954 	 0.000020387526 
19.134142 	 0.000066977489 	 0.000021192310 
19.282469 	 0.000073088138 	 0.000022198446 
19.430795 	 0.000076039786 	 0.000023108754 
19.579122 	 0.000077315152 	 0.000023759299 
19.727449 	 0.000077823988 	 0.000024134195 
19.875775 	 0.000078007497 	 0.000024302972 
20.024102 	 0.000078058426 	 0.000024355231 
20.172429 	 0.000078064611 	 0.000024362216 
20.320756 	 0.000078064598 	 0.000024362140 
20.469082 	 0.000078059464 	 0.000024356925 
20.617409 	 0.000078012983 	 0.000024312175 
20.765736 	 0.000077841105 	 0.000024160345 
20.914062 	 0.000077360212 	 0.000023815385 
21.062389 	 0.000076149478 	 0.000023211911 
21.210716 	 0.000073332375 	 0.000022374334 
21.359042 	 0.000067455420 	 0.000021489764 
21.507369 	 0.000056885100 	 0.000020909535 
21.655696 	 0.000041101331 	 0.000020993983 
21.804022 	 0.000022442491 	 0.000021828245 
21.952349 	 0.000006570902 	 0.000023042330 
22.100676 	 0.000000006643 	 0.000024006239 
22.249002 	 0.000005810960 	 0.000024326504 
22.397329 	 0.000021266919 	 0.000024167064 
22.545656 	 0.000039945593 	 0.000024052277 
22.693982 	 0.000056022189 	 0.000024388061 
22.842309 	 0.000066933211 	 0.000025192539 
22.990636 	 0.000073065402 	 0.000026198609 
23.138963 	 0.000076029540 	 0.000027109043 
23.287289 	 0.000077310933 	 0.000027759788 
23.435616 	 0.000077822380 	 0.000028134866 
23.583943 	 0.000078006978 	 0.000028303763 
23.732269 	 0.000078058325 	 0.000028356079 
23.880596 	 0.000078064612 	 0.000028363080 
24.028923 	 0.000078064596 	 0.000028363004 
24.177249 	 0.000078059551 	 0.000028357802 
24.325576 	 0.000078013461 	 0.000028313109 
24.473903 	 0.000077842610 	 0.000028161405 
24.622229 	 0.000077364188 	 0.000027816648 
24.770556 	 0.000076159180 	 0.000027213415 
24.918883 	 0.000073354053 	 0.000026376008 
25.067209 	 0.000067498045 	 0.000025491381 
25.215536 	 0.000056955996 	 0.000024910754 
25.363863 	 0.000041197065 	 0.000024994550 
25.512189 	 0.000022540981 	 0.000025828245 
25.660516 	 0.000006636039 	 0.000027042225 
25.808843 	 0.000000009042 	 0.000028006543 
25.957169 	 0.000005749467 	 0.000028327351 
26.105496 	 0.000021169514 	 0.000028168118 
26.253823 	 0.000039848725 	 0.000028053075 
26.402150 	 0.000055949269 	 0.000028388392 
26.550476 	 0.000066888793 	 0.000029192529 
26.698803 	 0.000073042576 	 0.000030198528 
26.847130 	 0.000076019246 	 0.000031109109 
26.995456 	 0.000077306693 	 0.000031760084 
27.143783 	 0.000077820763 	 0.000032135367 
27.292110 	 0.000078006454 	 0.000032304400 
27.440436 	 0.000078058222 	 0.000032356782 
27.588763 	 0.000078064612 	 0.000032363801 
27.737090 	 0.000078064594 	 0.000032363725 
27.885416 	 0.000078059638 	 0.000032358538 
28.033743 	 0.000078013935 	 0.000032313908 
28.182070 	 0.000077844107 	 0.000032162345 
28.330396 	 0.000077368144 	 0.000031817814 
28.478723 	 0.000076168838 	 0.000031214849 
28.627050 	 0.000073375645 	 0.000030377630 
28.775376 	 0.000067540533 	 0.000029492935 
28.923703 	 0.000057026735 	 0.000028911859 
29.072030 	 0.000041292708 	 0.000028994927 
29.220357 	 0.000022639546 	 0.000029827990 
29.368683 	 0.000006701450 	 0.000031041857 
29.517010 	 0.000000011810 	 0.000032006637 
29.665337 	 0.000005688260 	 0.000032328053 
29.813663 	 0.000021072199 	 0.000032169052 
29.961990 	 0.000039751773 	 0.000032053721 
30.110317 	 0.000055876195 	 0.000032388521 
30.258643 	 0.000066844236 	 0.000033192279 
